LABEL	OPTIMAL_THRESHOLD	ACCURACY	PRECISION	RECALL	F1
BioTech	0.35	0.9794	0.8419	0.8324	0.8293
Smartphones	0.45	0.9579	0.6903	0.6251	0.6422
Internet of Things	0.55	0.9904	0.8919	0.8033	0.8428
Social Networks	0.35	0.9586	0.8392	0.8987	0.8662
Battery	0.4	0.9897	0.7311	0.8269	0.7681
Driverless Cars	0.4	0.9942	0.9344	0.9330	0.9328
Wearable Tech	0.4	0.9698	0.7833	0.8084	0.7901
Virtual Reality and Augmented Reality	0.3	0.9708	0.5151	0.7163	0.5877
Drone	0.25	0.9830	0.7632	0.9379	0.8374
NanoTech	0.3	0.9836	0.8160	0.8710	0.8410
Manufacturing	0.3	0.9416	0.4648	0.7533	0.5661
Ecommerce	0.3	0.9888	0.9403	0.8874	0.9115
Artificial Intelligence	0.45	0.9897	0.9718	0.8629	0.9132
