LABEL	POS_CNT	THRESHOLD	FOLD	ACCURACY	PRECISION	RECALL	F1
BioTech	185	0.00	0	0.0594	0.0594	1.0000	0.1121
BioTech	185	0.05	0	0.1685	0.0667	1.0000	0.1250
BioTech	185	0.10	0	0.8379	0.2647	0.9730	0.4162
BioTech	185	0.15	0	0.9631	0.6250	0.9459	0.7527
BioTech	185	0.20	0	0.9727	0.7083	0.9189	0.8000
BioTech	185	0.25	0	0.9759	0.7391	0.9189	0.8193
BioTech	185	0.30	0	0.9775	0.7556	0.9189	0.8293
BioTech	185	0.35	0	0.9791	0.7727	0.9189	0.8395
BioTech	185	0.40	0	0.9759	0.7619	0.8649	0.8101
BioTech	185	0.45	0	0.9711	0.7436	0.7838	0.7632
BioTech	185	0.50	0	0.9663	0.7500	0.6486	0.6957
BioTech	185	0.55	0	0.9631	0.7500	0.5676	0.6462
BioTech	185	0.60	0	0.9647	0.7778	0.5676	0.6562
BioTech	185	0.65	0	0.9615	0.7600	0.5135	0.6129
BioTech	185	0.70	0	0.9583	0.7391	0.4595	0.5667
BioTech	185	0.75	0	0.9551	0.7368	0.3784	0.5000
BioTech	185	0.80	0	0.9518	0.7333	0.2973	0.4231
BioTech	185	0.85	0	0.9454	0.6364	0.1892	0.2917
BioTech	185	0.90	0	0.9438	0.6000	0.1622	0.2553
BioTech	185	0.95	0	0.9438	0.7500	0.0811	0.1463
BioTech	185	1.00	0	0.9406	0.0000	0.0000	0.0000
BioTech	185	0.00	1	0.0594	0.0594	1.0000	0.1121
BioTech	185	0.05	1	0.1958	0.0688	1.0000	0.1287
BioTech	185	0.10	1	0.7929	0.2229	1.0000	0.3645
BioTech	185	0.15	1	0.9213	0.4302	1.0000	0.6016
BioTech	185	0.20	1	0.9631	0.6250	0.9459	0.7527
BioTech	185	0.25	1	0.9775	0.7556	0.9189	0.8293
BioTech	185	0.30	1	0.9823	0.8421	0.8649	0.8533
BioTech	185	0.35	1	0.9888	0.9688	0.8378	0.8986
BioTech	185	0.40	1	0.9872	0.9677	0.8108	0.8824
BioTech	185	0.45	1	0.9839	1.0000	0.7297	0.8437
BioTech	185	0.50	1	0.9823	1.0000	0.7027	0.8254
BioTech	185	0.55	1	0.9823	1.0000	0.7027	0.8254
BioTech	185	0.60	1	0.9807	1.0000	0.6757	0.8065
BioTech	185	0.65	1	0.9791	1.0000	0.6486	0.7869
BioTech	185	0.70	1	0.9759	1.0000	0.5946	0.7458
BioTech	185	0.75	1	0.9695	1.0000	0.4865	0.6545
BioTech	185	0.80	1	0.9615	1.0000	0.3514	0.5200
BioTech	185	0.85	1	0.9567	1.0000	0.2703	0.4255
BioTech	185	0.90	1	0.9535	1.0000	0.2162	0.3556
BioTech	185	0.95	1	0.9486	1.0000	0.1351	0.2381
BioTech	185	1.00	1	0.9406	0.0000	0.0000	0.0000
BioTech	185	0.00	2	0.0594	0.0594	1.0000	0.1121
BioTech	185	0.05	2	0.2119	0.0701	1.0000	0.1310
BioTech	185	0.10	2	0.7978	0.2270	1.0000	0.3700
BioTech	185	0.15	2	0.9246	0.4359	0.9189	0.5913
BioTech	185	0.20	2	0.9615	0.6275	0.8649	0.7273
BioTech	185	0.25	2	0.9711	0.7317	0.8108	0.7692
BioTech	185	0.30	2	0.9839	0.9355	0.7838	0.8529
BioTech	185	0.35	2	0.9839	0.9355	0.7838	0.8529
BioTech	185	0.40	2	0.9823	0.9333	0.7568	0.8358
BioTech	185	0.45	2	0.9807	0.9310	0.7297	0.8182
BioTech	185	0.50	2	0.9743	0.9200	0.6216	0.7419
BioTech	185	0.55	2	0.9759	0.9583	0.6216	0.7541
BioTech	185	0.60	2	0.9695	0.9500	0.5135	0.6667
BioTech	185	0.65	2	0.9679	0.9474	0.4865	0.6429
BioTech	185	0.70	2	0.9647	0.9412	0.4324	0.5926
BioTech	185	0.75	2	0.9663	1.0000	0.4324	0.6038
BioTech	185	0.80	2	0.9631	1.0000	0.3784	0.5490
BioTech	185	0.85	2	0.9615	1.0000	0.3514	0.5200
BioTech	185	0.90	2	0.9567	1.0000	0.2703	0.4255
BioTech	185	0.95	2	0.9486	1.0000	0.1351	0.2381
BioTech	185	1.00	2	0.9406	0.0000	0.0000	0.0000
BioTech	185	0.00	3	0.0594	0.0594	1.0000	0.1121
BioTech	185	0.05	3	0.1958	0.0688	1.0000	0.1287
BioTech	185	0.10	3	0.8026	0.2278	0.9730	0.3692
BioTech	185	0.15	3	0.9358	0.4776	0.8649	0.6154
BioTech	185	0.20	3	0.9663	0.7000	0.7568	0.7273
BioTech	185	0.25	3	0.9711	0.7714	0.7297	0.7500
BioTech	185	0.30	3	0.9727	0.8125	0.7027	0.7536
BioTech	185	0.35	3	0.9743	0.8387	0.7027	0.7647
BioTech	185	0.40	3	0.9663	0.8077	0.5676	0.6667
BioTech	185	0.45	3	0.9615	0.7826	0.4865	0.6000
BioTech	185	0.50	3	0.9599	0.7727	0.4595	0.5763
BioTech	185	0.55	3	0.9551	0.7647	0.3514	0.4815
BioTech	185	0.60	3	0.9535	0.7857	0.2973	0.4314
BioTech	185	0.65	3	0.9518	0.7692	0.2703	0.4000
BioTech	185	0.70	3	0.9551	0.9091	0.2703	0.4167
BioTech	185	0.75	3	0.9551	0.9091	0.2703	0.4167
BioTech	185	0.80	3	0.9535	0.9000	0.2432	0.3830
BioTech	185	0.85	3	0.9502	0.8750	0.1892	0.3111
BioTech	185	0.90	3	0.9470	0.8333	0.1351	0.2326
BioTech	185	0.95	3	0.9454	0.8000	0.1081	0.1905
BioTech	185	1.00	3	0.9406	0.0000	0.0000	0.0000
BioTech	185	0.00	4	0.0595	0.0595	1.0000	0.1123
BioTech	185	0.05	4	0.1640	0.0664	1.0000	0.1246
BioTech	185	0.10	4	0.7074	0.1689	1.0000	0.2891
BioTech	185	0.15	4	0.8939	0.3592	1.0000	0.5286
BioTech	185	0.20	4	0.9373	0.4861	0.9459	0.6422
BioTech	185	0.25	4	0.9534	0.5645	0.9459	0.7071
BioTech	185	0.30	4	0.9678	0.6604	0.9459	0.7778
BioTech	185	0.35	4	0.9711	0.6939	0.9189	0.7907
BioTech	185	0.40	4	0.9743	0.7442	0.8649	0.8000
BioTech	185	0.45	4	0.9775	0.7949	0.8378	0.8158
BioTech	185	0.50	4	0.9791	0.8333	0.8108	0.8219
BioTech	185	0.55	4	0.9791	0.8529	0.7838	0.8169
BioTech	185	0.60	4	0.9775	0.8966	0.7027	0.7879
BioTech	185	0.65	4	0.9791	0.9286	0.7027	0.8000
BioTech	185	0.70	4	0.9775	0.9259	0.6757	0.7813
BioTech	185	0.75	4	0.9727	0.9545	0.5676	0.7119
BioTech	185	0.80	4	0.9662	0.9444	0.4595	0.6182
BioTech	185	0.85	4	0.9614	0.9333	0.3784	0.5385
BioTech	185	0.90	4	0.9598	1.0000	0.3243	0.4898
BioTech	185	0.95	4	0.9550	1.0000	0.2432	0.3913
BioTech	185	1.00	4	0.9405	0.0000	0.0000	0.0000
Smartphones	198	0.00	0	0.0641	0.0641	1.0000	0.1205
Smartphones	198	0.05	0	0.0881	0.0657	1.0000	0.1233
Smartphones	198	0.10	0	0.6362	0.1498	1.0000	0.2606
Smartphones	198	0.15	0	0.8638	0.3171	0.9750	0.4785
Smartphones	198	0.20	0	0.9054	0.3978	0.9250	0.5564
Smartphones	198	0.25	0	0.9279	0.4675	0.9000	0.6154
Smartphones	198	0.30	0	0.9455	0.5469	0.8750	0.6731
Smartphones	198	0.35	0	0.9599	0.6364	0.8750	0.7368
Smartphones	198	0.40	0	0.9631	0.6667	0.8500	0.7473
Smartphones	198	0.45	0	0.9631	0.6809	0.8000	0.7356
Smartphones	198	0.50	0	0.9631	0.6889	0.7750	0.7294
Smartphones	198	0.55	0	0.9647	0.7143	0.7500	0.7317
Smartphones	198	0.60	0	0.9663	0.7317	0.7500	0.7407
Smartphones	198	0.65	0	0.9663	0.7436	0.7250	0.7342
Smartphones	198	0.70	0	0.9631	0.7429	0.6500	0.6933
Smartphones	198	0.75	0	0.9599	0.7586	0.5500	0.6377
Smartphones	198	0.80	0	0.9567	0.7826	0.4500	0.5714
Smartphones	198	0.85	0	0.9519	0.7778	0.3500	0.4828
Smartphones	198	0.90	0	0.9519	0.9167	0.2750	0.4231
Smartphones	198	0.95	0	0.9471	0.8889	0.2000	0.3265
Smartphones	198	1.00	0	0.9359	0.0000	0.0000	0.0000
Smartphones	198	0.00	1	0.0642	0.0642	1.0000	0.1207
Smartphones	198	0.05	1	0.1091	0.0672	1.0000	0.1260
Smartphones	198	0.10	1	0.6067	0.1404	1.0000	0.2462
Smartphones	198	0.15	1	0.8363	0.2721	0.9250	0.4205
Smartphones	198	0.20	1	0.8876	0.3529	0.9000	0.5070
Smartphones	198	0.25	1	0.9085	0.4000	0.8500	0.5440
Smartphones	198	0.30	1	0.9262	0.4559	0.7750	0.5741
Smartphones	198	0.35	1	0.9342	0.4915	0.7250	0.5859
Smartphones	198	0.40	1	0.9422	0.5417	0.6500	0.5909
Smartphones	198	0.45	1	0.9470	0.5778	0.6500	0.6118
Smartphones	198	0.50	1	0.9454	0.5714	0.6000	0.5854
Smartphones	198	0.55	1	0.9422	0.5526	0.5250	0.5385
Smartphones	198	0.60	1	0.9358	0.5000	0.4250	0.4595
Smartphones	198	0.65	1	0.9326	0.4643	0.3250	0.3824
Smartphones	198	0.70	1	0.9326	0.4545	0.2500	0.3226
Smartphones	198	0.75	1	0.9374	0.5294	0.2250	0.3158
Smartphones	198	0.80	1	0.9390	0.5714	0.2000	0.2963
Smartphones	198	0.85	1	0.9374	0.5455	0.1500	0.2353
Smartphones	198	0.90	1	0.9358	0.5000	0.1000	0.1667
Smartphones	198	0.95	1	0.9358	0.5000	0.0500	0.0909
Smartphones	198	1.00	1	0.9358	0.0000	0.0000	0.0000
Smartphones	198	0.00	2	0.0642	0.0642	1.0000	0.1207
Smartphones	198	0.05	2	0.0979	0.0664	1.0000	0.1246
Smartphones	198	0.10	2	0.6501	0.1550	1.0000	0.2685
Smartphones	198	0.15	2	0.8523	0.3030	1.0000	0.4651
Smartphones	198	0.20	2	0.9037	0.3958	0.9500	0.5588
Smartphones	198	0.25	2	0.9246	0.4521	0.8250	0.5841
Smartphones	198	0.30	2	0.9422	0.5357	0.7500	0.6250
Smartphones	198	0.35	2	0.9486	0.5833	0.7000	0.6364
Smartphones	198	0.40	2	0.9535	0.6341	0.6500	0.6420
Smartphones	198	0.45	2	0.9599	0.7027	0.6500	0.6753
Smartphones	198	0.50	2	0.9615	0.7353	0.6250	0.6757
Smartphones	198	0.55	2	0.9679	0.8333	0.6250	0.7143
Smartphones	198	0.60	2	0.9695	0.8621	0.6250	0.7246
Smartphones	198	0.65	2	0.9679	0.9167	0.5500	0.6875
Smartphones	198	0.70	2	0.9663	0.9524	0.5000	0.6557
Smartphones	198	0.75	2	0.9679	1.0000	0.5000	0.6667
Smartphones	198	0.80	2	0.9631	1.0000	0.4250	0.5965
Smartphones	198	0.85	2	0.9599	1.0000	0.3750	0.5455
Smartphones	198	0.90	2	0.9551	1.0000	0.3000	0.4615
Smartphones	198	0.95	2	0.9470	1.0000	0.1750	0.2979
Smartphones	198	1.00	2	0.9358	0.0000	0.0000	0.0000
Smartphones	198	0.00	3	0.0627	0.0627	1.0000	0.1180
Smartphones	198	0.05	3	0.1334	0.0660	0.9744	0.1236
Smartphones	198	0.10	3	0.6190	0.1360	0.9487	0.2379
Smartphones	198	0.15	3	0.8617	0.2991	0.8974	0.4487
Smartphones	198	0.20	3	0.9068	0.3882	0.8462	0.5323
Smartphones	198	0.25	3	0.9341	0.4848	0.8205	0.6095
Smartphones	198	0.30	3	0.9502	0.5714	0.8205	0.6737
Smartphones	198	0.35	3	0.9662	0.7143	0.7692	0.7407
Smartphones	198	0.40	3	0.9695	0.7632	0.7436	0.7532
Smartphones	198	0.45	3	0.9727	0.8235	0.7179	0.7671
Smartphones	198	0.50	3	0.9662	0.8000	0.6154	0.6957
Smartphones	198	0.55	3	0.9695	0.9167	0.5641	0.6984
Smartphones	198	0.60	3	0.9678	0.9130	0.5385	0.6774
Smartphones	198	0.65	3	0.9646	0.9048	0.4872	0.6333
Smartphones	198	0.70	3	0.9598	0.8889	0.4103	0.5614
Smartphones	198	0.75	3	0.9566	0.9286	0.3333	0.4906
Smartphones	198	0.80	3	0.9534	1.0000	0.2564	0.4082
Smartphones	198	0.85	3	0.9502	1.0000	0.2051	0.3404
Smartphones	198	0.90	3	0.9469	1.0000	0.1538	0.2667
Smartphones	198	0.95	3	0.9453	1.0000	0.1282	0.2273
Smartphones	198	1.00	3	0.9373	0.0000	0.0000	0.0000
Smartphones	198	0.00	4	0.0627	0.0627	1.0000	0.1180
Smartphones	198	0.05	4	0.1383	0.0678	1.0000	0.1270
Smartphones	198	0.10	4	0.7524	0.1788	0.8205	0.2936
Smartphones	198	0.15	4	0.9148	0.3871	0.6154	0.4752
Smartphones	198	0.20	4	0.9389	0.5135	0.4872	0.5000
Smartphones	198	0.25	4	0.9469	0.6000	0.4615	0.5217
Smartphones	198	0.30	4	0.9486	0.6522	0.3846	0.4839
Smartphones	198	0.35	4	0.9502	0.7000	0.3590	0.4746
Smartphones	198	0.40	4	0.9486	0.6842	0.3333	0.4483
Smartphones	198	0.45	4	0.9469	0.6667	0.3077	0.4211
Smartphones	198	0.50	4	0.9502	0.7500	0.3077	0.4364
Smartphones	198	0.55	4	0.9469	0.7500	0.2308	0.3529
Smartphones	198	0.60	4	0.9453	0.7778	0.1795	0.2917
Smartphones	198	0.65	4	0.9486	1.0000	0.1795	0.3043
Smartphones	198	0.70	4	0.9469	1.0000	0.1538	0.2667
Smartphones	198	0.75	4	0.9453	1.0000	0.1282	0.2273
Smartphones	198	0.80	4	0.9453	1.0000	0.1282	0.2273
Smartphones	198	0.85	4	0.9453	1.0000	0.1282	0.2273
Smartphones	198	0.90	4	0.9453	1.0000	0.1282	0.2273
Smartphones	198	0.95	4	0.9437	1.0000	0.1026	0.1860
Smartphones	198	1.00	4	0.9373	0.0000	0.0000	0.0000
Internet of Things	102	0.00	0	0.0337	0.0337	1.0000	0.0651
Internet of Things	102	0.05	0	0.5721	0.0729	1.0000	0.1359
Internet of Things	102	0.10	0	0.9615	0.4667	1.0000	0.6364
Internet of Things	102	0.15	0	0.9744	0.5676	1.0000	0.7241
Internet of Things	102	0.20	0	0.9840	0.6897	0.9524	0.8000
Internet of Things	102	0.25	0	0.9888	0.7692	0.9524	0.8511
Internet of Things	102	0.30	0	0.9904	0.8000	0.9524	0.8696
Internet of Things	102	0.35	0	0.9936	0.8696	0.9524	0.9091
Internet of Things	102	0.40	0	0.9952	0.9091	0.9524	0.9302
Internet of Things	102	0.45	0	0.9920	0.9000	0.8571	0.8780
Internet of Things	102	0.50	0	0.9920	0.9000	0.8571	0.8780
Internet of Things	102	0.55	0	0.9920	0.9000	0.8571	0.8780
Internet of Things	102	0.60	0	0.9920	0.9000	0.8571	0.8780
Internet of Things	102	0.65	0	0.9936	0.9474	0.8571	0.9000
Internet of Things	102	0.70	0	0.9904	0.9412	0.7619	0.8421
Internet of Things	102	0.75	0	0.9904	0.9412	0.7619	0.8421
Internet of Things	102	0.80	0	0.9888	0.9375	0.7143	0.8108
Internet of Things	102	0.85	0	0.9888	0.9375	0.7143	0.8108
Internet of Things	102	0.90	0	0.9840	0.9231	0.5714	0.7059
Internet of Things	102	0.95	0	0.9792	0.9000	0.4286	0.5806
Internet of Things	102	1.00	0	0.9663	0.0000	0.0000	0.0000
Internet of Things	102	0.00	1	0.0337	0.0337	1.0000	0.0651
Internet of Things	102	0.05	1	0.7115	0.0964	0.9048	0.1743
Internet of Things	102	0.10	1	0.9151	0.2576	0.8095	0.3908
Internet of Things	102	0.15	1	0.9567	0.4250	0.8095	0.5574
Internet of Things	102	0.20	1	0.9647	0.4857	0.8095	0.6071
Internet of Things	102	0.25	1	0.9728	0.5667	0.8095	0.6667
Internet of Things	102	0.30	1	0.9760	0.6071	0.8095	0.6939
Internet of Things	102	0.35	1	0.9760	0.6071	0.8095	0.6939
Internet of Things	102	0.40	1	0.9792	0.6538	0.8095	0.7234
Internet of Things	102	0.45	1	0.9856	0.7727	0.8095	0.7907
Internet of Things	102	0.50	1	0.9904	0.8947	0.8095	0.8500
Internet of Things	102	0.55	1	0.9904	0.8947	0.8095	0.8500
Internet of Things	102	0.60	1	0.9920	0.9444	0.8095	0.8718
Internet of Things	102	0.65	1	0.9920	0.9444	0.8095	0.8718
Internet of Things	102	0.70	1	0.9904	0.9412	0.7619	0.8421
Internet of Things	102	0.75	1	0.9888	0.9375	0.7143	0.8108
Internet of Things	102	0.80	1	0.9840	0.9231	0.5714	0.7059
Internet of Things	102	0.85	1	0.9808	0.9091	0.4762	0.6250
Internet of Things	102	0.90	1	0.9760	0.8750	0.3333	0.4828
Internet of Things	102	0.95	1	0.9776	1.0000	0.3333	0.5000
Internet of Things	102	1.00	1	0.9663	0.0000	0.0000	0.0000
Internet of Things	102	0.00	2	0.0322	0.0322	1.0000	0.0623
Internet of Things	102	0.05	2	0.6592	0.0789	0.9000	0.1452
Internet of Things	102	0.10	2	0.9614	0.4474	0.8500	0.5862
Internet of Things	102	0.15	2	0.9743	0.5667	0.8500	0.6800
Internet of Things	102	0.20	2	0.9807	0.6538	0.8500	0.7391
Internet of Things	102	0.25	2	0.9871	0.8000	0.8000	0.8000
Internet of Things	102	0.30	2	0.9887	0.8421	0.8000	0.8205
Internet of Things	102	0.35	2	0.9904	0.8889	0.8000	0.8421
Internet of Things	102	0.40	2	0.9904	0.8889	0.8000	0.8421
Internet of Things	102	0.45	2	0.9920	0.9412	0.8000	0.8649
Internet of Things	102	0.50	2	0.9920	0.9412	0.8000	0.8649
Internet of Things	102	0.55	2	0.9920	0.9412	0.8000	0.8649
Internet of Things	102	0.60	2	0.9920	0.9412	0.8000	0.8649
Internet of Things	102	0.65	2	0.9920	0.9412	0.8000	0.8649
Internet of Things	102	0.70	2	0.9887	0.9333	0.7000	0.8000
Internet of Things	102	0.75	2	0.9871	0.9286	0.6500	0.7647
Internet of Things	102	0.80	2	0.9839	0.9167	0.5500	0.6875
Internet of Things	102	0.85	2	0.9823	0.9091	0.5000	0.6452
Internet of Things	102	0.90	2	0.9791	0.8889	0.4000	0.5517
Internet of Things	102	0.95	2	0.9743	0.8333	0.2500	0.3846
Internet of Things	102	1.00	2	0.9678	0.0000	0.0000	0.0000
Internet of Things	102	0.00	3	0.0322	0.0322	1.0000	0.0623
Internet of Things	102	0.05	3	0.5868	0.0722	1.0000	0.1347
Internet of Things	102	0.10	3	0.9389	0.3448	1.0000	0.5128
Internet of Things	102	0.15	3	0.9662	0.4878	1.0000	0.6557
Internet of Things	102	0.20	3	0.9727	0.5405	1.0000	0.7018
Internet of Things	102	0.25	3	0.9807	0.6250	1.0000	0.7692
Internet of Things	102	0.30	3	0.9871	0.7143	1.0000	0.8333
Internet of Things	102	0.35	3	0.9871	0.7143	1.0000	0.8333
Internet of Things	102	0.40	3	0.9871	0.7308	0.9500	0.8261
Internet of Things	102	0.45	3	0.9920	0.8261	0.9500	0.8837
Internet of Things	102	0.50	3	0.9920	0.8571	0.9000	0.8780
Internet of Things	102	0.55	3	0.9920	0.8571	0.9000	0.8780
Internet of Things	102	0.60	3	0.9920	0.8947	0.8500	0.8718
Internet of Things	102	0.65	3	0.9920	0.9412	0.8000	0.8649
Internet of Things	102	0.70	3	0.9920	0.9412	0.8000	0.8649
Internet of Things	102	0.75	3	0.9904	0.9375	0.7500	0.8333
Internet of Things	102	0.80	3	0.9904	1.0000	0.7000	0.8235
Internet of Things	102	0.85	3	0.9871	1.0000	0.6000	0.7500
Internet of Things	102	0.90	3	0.9823	1.0000	0.4500	0.6207
Internet of Things	102	0.95	3	0.9759	1.0000	0.2500	0.4000
Internet of Things	102	1.00	3	0.9678	0.0000	0.0000	0.0000
Internet of Things	102	0.00	4	0.0322	0.0322	1.0000	0.0623
Internet of Things	102	0.05	4	0.8682	0.1771	0.8500	0.2931
Internet of Things	102	0.10	4	0.9775	0.6154	0.8000	0.6957
Internet of Things	102	0.15	4	0.9823	0.7143	0.7500	0.7317
Internet of Things	102	0.20	4	0.9855	0.8235	0.7000	0.7568
Internet of Things	102	0.25	4	0.9855	0.8235	0.7000	0.7568
Internet of Things	102	0.30	4	0.9855	0.8235	0.7000	0.7568
Internet of Things	102	0.35	4	0.9839	0.8125	0.6500	0.7222
Internet of Things	102	0.40	4	0.9839	0.8125	0.6500	0.7222
Internet of Things	102	0.45	4	0.9839	0.8125	0.6500	0.7222
Internet of Things	102	0.50	4	0.9839	0.8125	0.6500	0.7222
Internet of Things	102	0.55	4	0.9855	0.8667	0.6500	0.7429
Internet of Things	102	0.60	4	0.9823	0.8462	0.5500	0.6667
Internet of Things	102	0.65	4	0.9839	0.9167	0.5500	0.6875
Internet of Things	102	0.70	4	0.9823	0.9091	0.5000	0.6452
Internet of Things	102	0.75	4	0.9775	0.8750	0.3500	0.5000
Internet of Things	102	0.80	4	0.9775	0.8750	0.3500	0.5000
Internet of Things	102	0.85	4	0.9759	0.8571	0.3000	0.4444
Internet of Things	102	0.90	4	0.9743	0.8333	0.2500	0.3846
Internet of Things	102	0.95	4	0.9727	1.0000	0.1500	0.2609
Internet of Things	102	1.00	4	0.9678	0.0000	0.0000	0.0000
Social Networks	464	0.00	0	0.1493	0.1493	1.0000	0.2598
Social Networks	464	0.05	0	0.1958	0.1566	1.0000	0.2707
Social Networks	464	0.10	0	0.4639	0.2165	0.9892	0.3552
Social Networks	464	0.15	0	0.7223	0.3462	0.9677	0.5099
Social Networks	464	0.20	0	0.9021	0.6176	0.9032	0.7336
Social Networks	464	0.25	0	0.9438	0.7788	0.8710	0.8223
Social Networks	464	0.30	0	0.9615	0.8791	0.8602	0.8696
Social Networks	464	0.35	0	0.9647	0.9176	0.8387	0.8764
Social Networks	464	0.40	0	0.9615	0.9157	0.8172	0.8636
Social Networks	464	0.45	0	0.9567	0.9125	0.7849	0.8439
Social Networks	464	0.50	0	0.9486	0.9067	0.7312	0.8095
Social Networks	464	0.55	0	0.9390	0.9104	0.6559	0.7625
Social Networks	464	0.60	0	0.9358	0.9344	0.6129	0.7403
Social Networks	464	0.65	0	0.9278	0.9444	0.5484	0.6939
Social Networks	464	0.70	0	0.9230	0.9787	0.4946	0.6571
Social Networks	464	0.75	0	0.9149	0.9762	0.4409	0.6074
Social Networks	464	0.80	0	0.9037	0.9714	0.3656	0.5312
Social Networks	464	0.85	0	0.8941	1.0000	0.2903	0.4500
