LABEL	THRESHOLD	ACCURACY	PRECISION	RECALL	F1
BioTech	0.00	0.0594	0.0594	1.0000	0.1121
BioTech	0.05	0.1872	0.0682	1.0000	0.1276
BioTech	0.10	0.7877	0.2223	0.9892	0.3618
BioTech	0.15	0.9277	0.4656	0.9459	0.6179
BioTech	0.20	0.9602	0.6294	0.8865	0.7299
BioTech	0.25	0.9698	0.7125	0.8648	0.7750
BioTech	0.30	0.9768	0.8012	0.8432	0.8134
BioTech	0.35	0.9794	0.8419	0.8324	0.8293
BioTech	0.40	0.9772	0.8430	0.7730	0.7990
BioTech	0.45	0.9749	0.8504	0.7135	0.7682
BioTech	0.50	0.9724	0.8552	0.6486	0.7322
BioTech	0.55	0.9711	0.8652	0.6054	0.7048
BioTech	0.60	0.9692	0.8820	0.5514	0.6697
BioTech	0.65	0.9679	0.8810	0.5243	0.6485
BioTech	0.70	0.9663	0.9031	0.4865	0.6206
BioTech	0.75	0.9637	0.9201	0.4270	0.5774
BioTech	0.80	0.9592	0.9155	0.3460	0.4987
BioTech	0.85	0.9550	0.8889	0.2757	0.4174
BioTech	0.90	0.9522	0.8867	0.2216	0.3518
BioTech	0.95	0.9483	0.9100	0.1405	0.2409
BioTech	1.00	0.9406	0.0000	0.0000	0.0000
Smartphones	0.00	0.0636	0.0636	1.0000	0.1196
Smartphones	0.05	0.1134	0.0666	0.9949	0.1249
Smartphones	0.10	0.6529	0.1520	0.9538	0.2614
Smartphones	0.15	0.8658	0.3157	0.8826	0.4576
Smartphones	0.20	0.9085	0.4096	0.8217	0.5309
Smartphones	0.25	0.9284	0.4809	0.7714	0.5749
Smartphones	0.30	0.9425	0.5524	0.7210	0.6060
Smartphones	0.35	0.9518	0.6251	0.6856	0.6349
Smartphones	0.40	0.9554	0.6580	0.6454	0.6363
Smartphones	0.45	0.9579	0.6903	0.6251	0.6422
Smartphones	0.50	0.9573	0.7091	0.5846	0.6245
Smartphones	0.55	0.9582	0.7534	0.5390	0.6072
Smartphones	0.60	0.9569	0.7569	0.5036	0.5788
Smartphones	0.65	0.9560	0.8059	0.4533	0.5483
Smartphones	0.70	0.9537	0.8077	0.3928	0.4999
Smartphones	0.75	0.9534	0.8433	0.3473	0.4676
Smartphones	0.80	0.9515	0.8708	0.2919	0.4199
Smartphones	0.85	0.9489	0.8647	0.2417	0.3663
