LABEL	OPTIMAL_THRESHOLD	ACCURACY	PRECISION	RECALL	F1
BioTech	0.35	0.9785	0.8357	0.8108	0.8172
Smartphones	0.4	0.9557	0.6655	0.6554	0.6435
Internet of Things	0.55	0.9904	0.8919	0.8033	0.8428
Social Networks	0.35	0.9608	0.8528	0.8965	0.8724
Battery	0.25	0.9888	0.6931	0.8731	0.7629
Driverless Cars	0.4	0.9942	0.9344	0.9330	0.9328
Wearable Tech	0.45	0.9705	0.8100	0.7764	0.7878
Virtual Reality and Augmented Reality	0.3	0.9708	0.5183	0.7163	0.5891
Drone	0.25	0.9823	0.7568	0.9448	0.8347
NanoTech	0.2	0.9833	0.7752	0.9419	0.8494
Manufacturing	0.25	0.9422	0.4686	0.7733	0.5739
Ecommerce	0.3	0.9888	0.9403	0.8874	0.9115
Artificial Intelligence	0.25	0.9888	0.9108	0.9141	0.9116
