LABEL	POS_CNT	THRESHOLD	FOLD	ACCURACY	PRECISION	RECALL	F1
BioTech	185	0.00	0	0.0594	0.0594	1.0000	0.1121
BioTech	185	0.05	0	0.1380	0.0645	1.0000	0.1211
BioTech	185	0.10	0	0.8587	0.2927	0.9730	0.4500
BioTech	185	0.15	0	0.9631	0.6296	0.9189	0.7473
BioTech	185	0.20	0	0.9743	0.7234	0.9189	0.8095
BioTech	185	0.25	0	0.9791	0.7727	0.9189	0.8395
BioTech	185	0.30	0	0.9791	0.7727	0.9189	0.8395
BioTech	185	0.35	0	0.9775	0.7674	0.8919	0.8250
BioTech	185	0.40	0	0.9759	0.7619	0.8649	0.8101
BioTech	185	0.45	0	0.9727	0.7778	0.7568	0.7671
BioTech	185	0.50	0	0.9679	0.7576	0.6757	0.7143
BioTech	185	0.55	0	0.9679	0.7931	0.6216	0.6970
BioTech	185	0.60	0	0.9647	0.7778	0.5676	0.6562
BioTech	185	0.65	0	0.9631	0.7692	0.5405	0.6349
BioTech	185	0.70	0	0.9599	0.7727	0.4595	0.5763
BioTech	185	0.75	0	0.9518	0.7059	0.3243	0.4444
BioTech	185	0.80	0	0.9502	0.7143	0.2703	0.3922
BioTech	185	0.85	0	0.9454	0.6364	0.1892	0.2917
BioTech	185	0.90	0	0.9438	0.6000	0.1622	0.2553
BioTech	185	0.95	0	0.9438	0.6667	0.1081	0.1860
BioTech	185	1.00	0	0.9406	0.0000	0.0000	0.0000
BioTech	185	0.00	1	0.0594	0.0594	1.0000	0.1121
BioTech	185	0.05	1	0.1525	0.0655	1.0000	0.1229
BioTech	185	0.10	1	0.8315	0.2606	1.0000	0.4134
BioTech	185	0.15	1	0.9262	0.4444	0.9730	0.6102
BioTech	185	0.20	1	0.9679	0.6604	0.9459	0.7778
BioTech	185	0.25	1	0.9839	0.8140	0.9459	0.8750
BioTech	185	0.30	1	0.9856	0.8889	0.8649	0.8767
BioTech	185	0.35	1	0.9839	0.9091	0.8108	0.8571
BioTech	185	0.40	1	0.9856	0.9667	0.7838	0.8657
BioTech	185	0.45	1	0.9856	1.0000	0.7568	0.8615
BioTech	185	0.50	1	0.9839	1.0000	0.7297	0.8437
BioTech	185	0.55	1	0.9823	1.0000	0.7027	0.8254
BioTech	185	0.60	1	0.9807	1.0000	0.6757	0.8065
BioTech	185	0.65	1	0.9807	1.0000	0.6757	0.8065
BioTech	185	0.70	1	0.9727	1.0000	0.5405	0.7018
BioTech	185	0.75	1	0.9695	1.0000	0.4865	0.6545
BioTech	185	0.80	1	0.9631	1.0000	0.3784	0.5490
