LABEL	OPTIMAL_THRESHOLD	ACCURACY	PRECISION	RECALL	F1
BioTech	0.45	0.9788	0.8358	0.8270	0.8234
Smartphones	0.55	0.9599	0.7142	0.6453	0.6583
Internet of Things	0.7	0.9913	0.9406	0.7833	0.8533
Social Networks	0.4	0.9618	0.8552	0.8987	0.8750
Battery	0.5	0.9897	0.7174	0.8577	0.7745
Driverless Cars	0.6	0.9942	0.9344	0.9330	0.9328
Wearable Tech	0.55	0.9733	0.8377	0.7764	0.8031
Virtual Reality and Augmented Reality	0.45	0.9711	0.5238	0.6928	0.5847
Drone	0.35	0.9836	0.7709	0.9310	0.8402
NanoTech	0.25	0.9855	0.8113	0.9290	0.8649
Manufacturing	0.45	0.9480	0.4920	0.6800	0.5649
Ecommerce	0.35	0.9888	0.9399	0.8874	0.9117
Artificial Intelligence	0.35	0.9891	0.9227	0.9039	0.9124
