LABEL	POS_CNT	THRESHOLD	FOLD	ACCURACY	PRECISION	RECALL	F1
BioTech	185	0.00	0	0.0594	0.0594	1.0000	0.1121
BioTech	185	0.05	0	0.5040	0.1047	0.9730	0.1890
BioTech	185	0.10	0	0.9181	0.4186	0.9730	0.5854
BioTech	185	0.15	0	0.9551	0.5738	0.9459	0.7143
BioTech	185	0.20	0	0.9679	0.6667	0.9189	0.7727
BioTech	185	0.25	0	0.9727	0.7083	0.9189	0.8000
BioTech	185	0.30	0	0.9727	0.7083	0.9189	0.8000
BioTech	185	0.35	0	0.9775	0.7556	0.9189	0.8293
BioTech	185	0.40	0	0.9775	0.7556	0.9189	0.8293
BioTech	185	0.45	0	0.9775	0.7674	0.8919	0.8250
BioTech	185	0.50	0	0.9775	0.7674	0.8919	0.8250
BioTech	185	0.55	0	0.9775	0.7805	0.8649	0.8205
BioTech	185	0.60	0	0.9743	0.7838	0.7838	0.7838
BioTech	185	0.65	0	0.9695	0.7647	0.7027	0.7324
BioTech	185	0.70	0	0.9679	0.7576	0.6757	0.7143
BioTech	185	0.75	0	0.9647	0.7586	0.5946	0.6667
BioTech	185	0.80	0	0.9631	0.7692	0.5405	0.6349
BioTech	185	0.85	0	0.9631	0.7917	0.5135	0.6230
BioTech	185	0.90	0	0.9502	0.7143	0.2703	0.3922
BioTech	185	0.95	0	0.9454	0.6364	0.1892	0.2917
BioTech	185	1.00	0	0.9406	0.0000	0.0000	0.0000
BioTech	185	0.00	1	0.0594	0.0594	1.0000	0.1121
BioTech	185	0.05	1	0.4639	0.0997	1.0000	0.1814
BioTech	185	0.10	1	0.8748	0.3217	1.0000	0.4868
BioTech	185	0.15	1	0.9213	0.4302	1.0000	0.6016
BioTech	185	0.20	1	0.9486	0.5385	0.9459	0.6863
BioTech	185	0.25	1	0.9695	0.6731	0.9459	0.7865
BioTech	185	0.30	1	0.9775	0.7556	0.9189	0.8293
BioTech	185	0.35	1	0.9791	0.8000	0.8649	0.8312
BioTech	185	0.40	1	0.9823	0.8611	0.8378	0.8493
BioTech	185	0.45	1	0.9856	0.9375	0.8108	0.8696
BioTech	185	0.50	1	0.9856	0.9667	0.7838	0.8657
BioTech	185	0.55	1	0.9839	0.9655	0.7568	0.8485
BioTech	185	0.60	1	0.9839	1.0000	0.7297	0.8437
BioTech	185	0.65	1	0.9839	1.0000	0.7297	0.8437
BioTech	185	0.70	1	0.9839	1.0000	0.7297	0.8437
BioTech	185	0.75	1	0.9823	1.0000	0.7027	0.8254
BioTech	185	0.80	1	0.9807	1.0000	0.6757	0.8065
BioTech	185	0.85	1	0.9743	1.0000	0.5676	0.7241
BioTech	185	0.90	1	0.9679	1.0000	0.4595	0.6296
BioTech	185	0.95	1	0.9567	1.0000	0.2703	0.4255
BioTech	185	1.00	1	0.9406	0.0000	0.0000	0.0000
BioTech	185	0.00	2	0.0594	0.0594	1.0000	0.1121
BioTech	185	0.05	2	0.4318	0.0946	1.0000	0.1729
BioTech	185	0.10	2	0.8555	0.2913	1.0000	0.4512
BioTech	185	0.15	2	0.9262	0.4416	0.9189	0.5965
BioTech	185	0.20	2	0.9406	0.5000	0.8919	0.6408
BioTech	185	0.25	2	0.9647	0.6531	0.8649	0.7442
BioTech	185	0.30	2	0.9775	0.7805	0.8649	0.8205
BioTech	185	0.35	2	0.9856	0.9118	0.8378	0.8732
BioTech	185	0.40	2	0.9839	0.9355	0.7838	0.8529
BioTech	185	0.45	2	0.9839	0.9355	0.7838	0.8529
BioTech	185	0.50	2	0.9839	0.9355	0.7838	0.8529
BioTech	185	0.55	2	0.9823	0.9333	0.7568	0.8358
BioTech	185	0.60	2	0.9791	0.9286	0.7027	0.8000
BioTech	185	0.65	2	0.9775	0.9259	0.6757	0.7813
BioTech	185	0.70	2	0.9743	0.9200	0.6216	0.7419
BioTech	185	0.75	2	0.9711	0.9524	0.5405	0.6897
BioTech	185	0.80	2	0.9679	0.9474	0.4865	0.6429
BioTech	185	0.85	2	0.9631	0.9375	0.4054	0.5660
BioTech	185	0.90	2	0.9631	1.0000	0.3784	0.5490
BioTech	185	0.95	2	0.9567	1.0000	0.2703	0.4255
BioTech	185	1.00	2	0.9406	0.0000	0.0000	0.0000
BioTech	185	0.00	3	0.0594	0.0594	1.0000	0.1121
BioTech	185	0.05	3	0.4639	0.0997	1.0000	0.1814
BioTech	185	0.10	3	0.8796	0.3241	0.9459	0.4828
BioTech	185	0.15	3	0.9358	0.4776	0.8649	0.6154
BioTech	185	0.20	3	0.9567	0.6000	0.8108	0.6897
BioTech	185	0.25	3	0.9647	0.6829	0.7568	0.7179
