LABEL	OPTIMAL_THRESHOLD	ACCURACY	PRECISION	RECALL	F1
BioTech	0.45	0.9785	0.8331	0.8270	0.8215
Smartphones	0.55	0.9599	0.7114	0.6403	0.6570
Internet of Things	0.7	0.9913	0.9406	0.7833	0.8533
Social Networks	0.4	0.9624	0.8574	0.9009	0.8771
Battery	0.5	0.9897	0.7174	0.8577	0.7745
Driverless Cars	0.6	0.9942	0.9344	0.9330	0.9328
Wearable Tech	0.55	0.9737	0.8395	0.7811	0.8059
Virtual Reality and Augmented Reality	0.6	0.9756	0.5914	0.6248	0.5880
Drone	0.35	0.9839	0.7722	0.9379	0.8443
NanoTech	0.25	0.9852	0.8066	0.9290	0.8623
Manufacturing	0.45	0.9492	0.5003	0.6933	0.5753
Ecommerce	0.35	0.9885	0.9304	0.8923	0.9100
Artificial Intelligence	0.35	0.9891	0.9189	0.9090	0.9131
