LABEL	THRESHOLD	ACCURACY	PRECISION	RECALL	F1
BioTech	0.00	0.0594	0.0594	1.0000	0.1121
BioTech	0.05	0.4521	0.0977	0.9946	0.1779
BioTech	0.10	0.8728	0.3260	0.9838	0.4866
BioTech	0.15	0.9271	0.4606	0.9459	0.6144
BioTech	0.20	0.9493	0.5583	0.9135	0.6871
BioTech	0.25	0.9624	0.6466	0.8919	0.7428
BioTech	0.30	0.9692	0.7030	0.8757	0.7738
BioTech	0.35	0.9759	0.7886	0.8540	0.8112
BioTech	0.40	0.9765	0.8055	0.8378	0.8114
BioTech	0.45	0.9785	0.8331	0.8270	0.8215
BioTech	0.50	0.9785	0.8421	0.8108	0.8188
BioTech	0.55	0.9772	0.8456	0.7730	0.8005
BioTech	0.60	0.9746	0.8542	0.6973	0.7611
BioTech	0.65	0.9759	0.8827	0.6919	0.7681
BioTech	0.70	0.9737	0.8761	0.6541	0.7427
BioTech	0.75	0.9714	0.8794	0.6054	0.7088
BioTech	0.80	0.9682	0.8862	0.5297	0.6562
BioTech	0.85	0.9657	0.8965	0.4757	0.6126
BioTech	0.90	0.9608	0.9123	0.3730	0.5243
BioTech	0.95	0.9531	0.8806	0.2432	0.3759
BioTech	1.00	0.9406	0.0000	0.0000	0.0000
Smartphones	0.00	0.0636	0.0636	1.0000	0.1196
Smartphones	0.05	0.3183	0.0845	0.9846	0.1557
Smartphones	0.10	0.7560	0.1965	0.9131	0.3223
Smartphones	0.15	0.8645	0.3120	0.8827	0.4547
Smartphones	0.20	0.8985	0.3871	0.8572	0.5172
Smartphones	0.25	0.9178	0.4402	0.8015	0.5497
Smartphones	0.30	0.9348	0.5077	0.7712	0.5934
Smartphones	0.35	0.9457	0.5668	0.7559	0.6277
Smartphones	0.40	0.9502	0.5995	0.7208	0.6369
Smartphones	0.45	0.9544	0.6419	0.6858	0.6459
Smartphones	0.50	0.9573	0.6757	0.6604	0.6521
Smartphones	0.55	0.9599	0.7114	0.6403	0.6570
Smartphones	0.60	0.9605	0.7354	0.6148	0.6501
Smartphones	0.65	0.9621	0.7671	0.5945	0.6491
