LABEL	POS_CNT	THRESHOLD	FOLD	ACCURACY	PRECISION	RECALL	F1
BioTech	185	0.00	0	0.0594	0.0594	1.0000	0.1121
BioTech	185	0.05	0	0.9390	0.4932	0.9730	0.6545
BioTech	185	0.10	0	0.9647	0.6316	0.9730	0.7660
BioTech	185	0.15	0	0.9695	0.6667	0.9730	0.7912
BioTech	185	0.20	0	0.9727	0.6923	0.9730	0.8090
BioTech	185	0.25	0	0.9727	0.7000	0.9459	0.8046
BioTech	185	0.30	0	0.9775	0.7447	0.9459	0.8333
BioTech	185	0.35	0	0.9791	0.7609	0.9459	0.8434
BioTech	185	0.40	0	0.9791	0.7727	0.9189	0.8395
BioTech	185	0.45	0	0.9791	0.7727	0.9189	0.8395
BioTech	185	0.50	0	0.9791	0.7727	0.9189	0.8395
BioTech	185	0.55	0	0.9807	0.7907	0.9189	0.8500
BioTech	185	0.60	0	0.9807	0.7907	0.9189	0.8500
BioTech	185	0.65	0	0.9807	0.7907	0.9189	0.8500
BioTech	185	0.70	0	0.9807	0.7907	0.9189	0.8500
BioTech	185	0.75	0	0.9807	0.7907	0.9189	0.8500
BioTech	185	0.80	0	0.9807	0.7907	0.9189	0.8500
BioTech	185	0.85	0	0.9807	0.7907	0.9189	0.8500
BioTech	185	0.90	0	0.9807	0.7907	0.9189	0.8500
BioTech	185	0.95	0	0.9759	0.7895	0.8108	0.8000
BioTech	185	1.00	0	0.9406	0.0000	0.0000	0.0000
BioTech	185	0.00	1	0.0594	0.0594	1.0000	0.1121
BioTech	185	0.05	1	0.8860	0.3426	1.0000	0.5103
BioTech	185	0.10	1	0.9230	0.4353	1.0000	0.6066
BioTech	185	0.15	1	0.9358	0.4805	1.0000	0.6491
BioTech	185	0.20	1	0.9470	0.5294	0.9730	0.6857
BioTech	185	0.25	1	0.9599	0.6000	0.9730	0.7423
BioTech	185	0.30	1	0.9743	0.7059	0.9730	0.8182
BioTech	185	0.35	1	0.9807	0.7778	0.9459	0.8537
BioTech	185	0.40	1	0.9856	0.8333	0.9459	0.8861
BioTech	185	0.45	1	0.9904	0.8974	0.9459	0.9211
BioTech	185	0.50	1	0.9936	0.9459	0.9459	0.9459
BioTech	185	0.55	1	0.9952	0.9722	0.9459	0.9589
BioTech	185	0.60	1	0.9952	0.9722	0.9459	0.9589
BioTech	185	0.65	1	0.9968	1.0000	0.9459	0.9722
BioTech	185	0.70	1	0.9968	1.0000	0.9459	0.9722
BioTech	185	0.75	1	0.9968	1.0000	0.9459	0.9722
BioTech	185	0.80	1	0.9968	1.0000	0.9459	0.9722
BioTech	185	0.85	1	0.9968	1.0000	0.9459	0.9722
BioTech	185	0.90	1	0.9968	1.0000	0.9459	0.9722
BioTech	185	0.95	1	0.9920	1.0000	0.8649	0.9275
BioTech	185	1.00	1	0.9406	0.0000	0.0000	0.0000
BioTech	185	0.00	2	0.0594	0.0594	1.0000	0.1121
BioTech	185	0.05	2	0.8604	0.2951	0.9730	0.4528
BioTech	185	0.10	2	0.9197	0.4235	0.9730	0.5902
BioTech	185	0.15	2	0.9294	0.4557	0.9730	0.6207
BioTech	185	0.20	2	0.9358	0.4795	0.9459	0.6364
BioTech	185	0.25	2	0.9551	0.5789	0.8919	0.7021
BioTech	185	0.30	2	0.9695	0.6875	0.8919	0.7765
BioTech	185	0.35	2	0.9759	0.7619	0.8649	0.8101
BioTech	185	0.40	2	0.9823	0.8421	0.8649	0.8533
BioTech	185	0.45	2	0.9872	0.9143	0.8649	0.8889
BioTech	185	0.50	2	0.9856	0.9375	0.8108	0.8696
BioTech	185	0.55	2	0.9856	0.9375	0.8108	0.8696
BioTech	185	0.60	2	0.9856	0.9375	0.8108	0.8696
BioTech	185	0.65	2	0.9856	0.9375	0.8108	0.8696
BioTech	185	0.70	2	0.9856	0.9375	0.8108	0.8696
BioTech	185	0.75	2	0.9872	0.9677	0.8108	0.8824
BioTech	185	0.80	2	0.9872	0.9677	0.8108	0.8824
BioTech	185	0.85	2	0.9872	0.9677	0.8108	0.8824
BioTech	185	0.90	2	0.9872	0.9677	0.8108	0.8824
BioTech	185	0.95	2	0.9807	0.9630	0.7027	0.8125
BioTech	185	1.00	2	0.9406	0.0000	0.0000	0.0000
BioTech	185	0.00	3	0.0594	0.0594	1.0000	0.1121
BioTech	185	0.05	3	0.9117	0.4000	0.9730	0.5669
BioTech	185	0.10	3	0.9262	0.4444	0.9730	0.6102
BioTech	185	0.15	3	0.9454	0.5254	0.8378	0.6458
BioTech	185	0.20	3	0.9615	0.6444	0.7838	0.7073
BioTech	185	0.25	3	0.9663	0.7105	0.7297	0.7200
BioTech	185	0.30	3	0.9711	0.7714	0.7297	0.7500
BioTech	185	0.35	3	0.9743	0.8182	0.7297	0.7714
BioTech	185	0.40	3	0.9759	0.8438	0.7297	0.7826
BioTech	185	0.45	3	0.9759	0.8438	0.7297	0.7826
BioTech	185	0.50	3	0.9743	0.8387	0.7027	0.7647
BioTech	185	0.55	3	0.9743	0.8387	0.7027	0.7647
BioTech	185	0.60	3	0.9743	0.8387	0.7027	0.7647
BioTech	185	0.65	3	0.9743	0.8387	0.7027	0.7647
BioTech	185	0.70	3	0.9743	0.8387	0.7027	0.7647
BioTech	185	0.75	3	0.9743	0.8387	0.7027	0.7647
BioTech	185	0.80	3	0.9743	0.8387	0.7027	0.7647
BioTech	185	0.85	3	0.9743	0.8387	0.7027	0.7647
BioTech	185	0.90	3	0.9743	0.8387	0.7027	0.7647
BioTech	185	0.95	3	0.9743	0.8387	0.7027	0.7647
BioTech	185	1.00	3	0.9406	0.0000	0.0000	0.0000
BioTech	185	0.00	4	0.0595	0.0595	1.0000	0.1123
BioTech	185	0.05	4	0.8698	0.3136	1.0000	0.4774
BioTech	185	0.10	4	0.8955	0.3600	0.9730	0.5255
BioTech	185	0.15	4	0.9100	0.3956	0.9730	0.5625
BioTech	185	0.20	4	0.9293	0.4557	0.9730	0.6207
BioTech	185	0.25	4	0.9502	0.5455	0.9730	0.6990
BioTech	185	0.30	4	0.9598	0.6034	0.9459	0.7368
BioTech	185	0.35	4	0.9662	0.6481	0.9459	0.7692
BioTech	185	0.40	4	0.9695	0.6731	0.9459	0.7865
BioTech	185	0.45	4	0.9743	0.7143	0.9459	0.8140
BioTech	185	0.50	4	0.9807	0.7778	0.9459	0.8537
BioTech	185	0.55	4	0.9855	0.8333	0.9459	0.8861
BioTech	185	0.60	4	0.9871	0.8537	0.9459	0.8974
BioTech	185	0.65	4	0.9887	0.8750	0.9459	0.9091
BioTech	185	0.70	4	0.9887	0.8750	0.9459	0.9091
BioTech	185	0.75	4	0.9887	0.8750	0.9459	0.9091
BioTech	185	0.80	4	0.9887	0.8750	0.9459	0.9091
BioTech	185	0.85	4	0.9887	0.8750	0.9459	0.9091
BioTech	185	0.90	4	0.9887	0.8750	0.9459	0.9091
BioTech	185	0.95	4	0.9839	0.8857	0.8378	0.8611
BioTech	185	1.00	4	0.9405	0.0000	0.0000	0.0000
Smartphones	198	0.00	0	0.0641	0.0641	1.0000	0.1205
Smartphones	198	0.05	0	0.6939	0.1732	1.0000	0.2952
Smartphones	198	0.10	0	0.8766	0.3391	0.9750	0.5032
Smartphones	198	0.15	0	0.8958	0.3786	0.9750	0.5455
Smartphones	198	0.20	0	0.8990	0.3861	0.9750	0.5532
Smartphones	198	0.25	0	0.9103	0.4149	0.9750	0.5821
Smartphones	198	0.30	0	0.9231	0.4512	0.9250	0.6066
Smartphones	198	0.35	0	0.9279	0.4667	0.8750	0.6087
Smartphones	198	0.40	0	0.9359	0.5000	0.8250	0.6226
Smartphones	198	0.45	0	0.9423	0.5323	0.8250	0.6471
Smartphones	198	0.50	0	0.9503	0.5789	0.8250	0.6804
Smartphones	198	0.55	0	0.9583	0.6346	0.8250	0.7174
Smartphones	198	0.60	0	0.9583	0.6400	0.8000	0.7111
Smartphones	198	0.65	0	0.9615	0.6667	0.8000	0.7273
Smartphones	198	0.70	0	0.9631	0.6809	0.8000	0.7356
Smartphones	198	0.75	0	0.9663	0.7209	0.7750	0.7470
Smartphones	198	0.80	0	0.9679	0.7500	0.7500	0.7500
