LABEL	THRESHOLD	ACCURACY	PRECISION	RECALL	F1
BioTech	0.00	0.0594	0.0594	1.0000	0.1121
BioTech	0.05	0.8934	0.3689	0.9838	0.5324
BioTech	0.10	0.9258	0.4590	0.9784	0.6197
BioTech	0.15	0.9380	0.5048	0.9514	0.6539
BioTech	0.20	0.9493	0.5603	0.9297	0.6918
BioTech	0.25	0.9608	0.6270	0.9027	0.7336
BioTech	0.30	0.9704	0.7026	0.8973	0.7830
BioTech	0.35	0.9752	0.7534	0.8865	0.8096
BioTech	0.40	0.9785	0.7930	0.8811	0.8296
BioTech	0.45	0.9814	0.8285	0.8811	0.8492
BioTech	0.50	0.9827	0.8545	0.8648	0.8547
BioTech	0.55	0.9843	0.8745	0.8648	0.8659
BioTech	0.60	0.9846	0.8786	0.8648	0.8681
BioTech	0.65	0.9852	0.8884	0.8648	0.8731
BioTech	0.70	0.9852	0.8884	0.8648	0.8731
BioTech	0.75	0.9855	0.8944	0.8648	0.8757
BioTech	0.80	0.9855	0.8944	0.8648	0.8757
BioTech	0.85	0.9855	0.8944	0.8648	0.8757
BioTech	0.90	0.9855	0.8944	0.8648	0.8757
BioTech	0.95	0.9814	0.8954	0.7838	0.8332
BioTech	1.00	0.9406	0.0000	0.0000	0.0000
Smartphones	0.00	0.0636	0.0636	1.0000	0.1196
Smartphones	0.05	0.6801	0.1637	0.9795	0.2805
Smartphones	0.10	0.8616	0.3109	0.9491	0.4675
Smartphones	0.15	0.8950	0.3729	0.9135	0.5264
Smartphones	0.20	0.9043	0.4008	0.8728	0.5405
Smartphones	0.25	0.9156	0.4386	0.8171	0.5531
Smartphones	0.30	0.9262	0.4803	0.7868	0.5762
Smartphones	0.35	0.9345	0.5165	0.7564	0.5923
Smartphones	0.40	0.9403	0.5462	0.7212	0.6015
Smartphones	0.45	0.9490	0.6002	0.7058	0.6270
Smartphones	0.50	0.9531	0.6318	0.6806	0.6361
Smartphones	0.55	0.9618	0.7290	0.6806	0.6808
Smartphones	0.60	0.9628	0.7478	0.6604	0.6788
Smartphones	0.65	0.9647	0.7756	0.6504	0.6871
Smartphones	0.70	0.9666	0.8048	0.6454	0.6972
Smartphones	0.75	0.9692	0.8527	0.6354	0.7096
Smartphones	0.80	0.9698	0.8744	0.6203	0.7074
Smartphones	0.85	0.9711	0.9150	0.6203	0.7149
Smartphones	0.90	0.9701	0.9142	0.6051	0.7011
Smartphones	0.95	0.9685	0.9225	0.5699	0.6758
Smartphones	1.00	0.9364	0.0000	0.0000	0.0000
Internet of Things	0.00	0.0328	0.0328	1.0000	0.0634
Internet of Things	0.05	0.9082	0.2702	0.9510	0.4159
Internet of Things	0.10	0.9534	0.4149	0.9214	0.5688
Internet of Things	0.15	0.9679	0.5163	0.9119	0.6548
Internet of Things	0.20	0.9743	0.5916	0.8919	0.7013
Internet of Things	0.25	0.9795	0.6493	0.8919	0.7438
Internet of Things	0.30	0.9836	0.7081	0.8919	0.7845
Internet of Things	0.35	0.9846	0.7371	0.8719	0.7903
Internet of Things	0.40	0.9865	0.7751	0.8719	0.8110
Internet of Things	0.45	0.9881	0.8034	0.8719	0.8277
Internet of Things	0.50	0.9904	0.8478	0.8719	0.8536
Internet of Things	0.55	0.9910	0.8618	0.8719	0.8614
Internet of Things	0.60	0.9920	0.8894	0.8719	0.8742
Internet of Things	0.65	0.9926	0.9043	0.8719	0.8826
Internet of Things	0.70	0.9936	0.9311	0.8719	0.8956
Internet of Things	0.75	0.9942	0.9493	0.8719	0.9051
Internet of Things	0.80	0.9942	0.9493	0.8719	0.9051
Internet of Things	0.85	0.9942	0.9493	0.8719	0.9051
Internet of Things	0.90	0.9942	0.9493	0.8719	0.9051
Internet of Things	0.95	0.9939	0.9493	0.8619	0.8984
Internet of Things	1.00	0.9672	0.0000	0.0000	0.0000
Social Networks	0.00	0.1490	0.1490	1.0000	0.2594
Social Networks	0.05	0.7768	0.4018	0.9892	0.5708
Social Networks	0.10	0.8417	0.4876	0.9870	0.6519
Social Networks	0.15	0.9358	0.7084	0.9763	0.8203
Social Networks	0.20	0.9508	0.7746	0.9547	0.8543
Social Networks	0.25	0.9586	0.8160	0.9396	0.8725
Social Networks	0.30	0.9627	0.8514	0.9159	0.8810
Social Networks	0.35	0.9663	0.8707	0.9137	0.8905
Social Networks	0.40	0.9685	0.8861	0.9073	0.8959
Social Networks	0.45	0.9724	0.9102	0.9051	0.9072
Social Networks	0.50	0.9733	0.9218	0.8986	0.9096
Social Networks	0.55	0.9737	0.9261	0.8965	0.9105
